acc	country	collection_date
MT027064	USA: CA	2020-01-29
MT027063	USA: CA	2020-01-29
MT027062	USA: CA	2020-01-29
LC521925	Japan	2020-01-01
MT020881	USA: WA	2020-01-25
MT020880	USA: WA	2020-01-25
MT020781	Finland	2020-01-29
MT019533	China: Hubei, Wuhan	2020-01-01
MT019532	China: Hubei, Wuhan	2019-12-30
MT019531	China: Hubei, Wuhan	2019-12-30
MT019530	China: Hubei, Wuhan	2019-12-30
MT019529	China: Hubei, Wuhan	2019-12-23
MN975262	China	2020-01-11
MN938384	China: Shenzhen	2020-01-10
LR757998	NA	NA
LR757997	NA	NA
LR757996	NA	NA
LR757995	NA	NA
MT007544	Australia: Victoria	2020-01-25
MN996531	China: Wuhan	2019-12-30
MG772933	China	2017-02-01
